Material,Pharma_Demand,Solar_Demand,Construction,FMCG_Demand,Geopolitical,CIIP_Score,Risk_Level,12M_Forecast,Procurement_Action,Confidence_Score,Confidence_Tier,Tier_Note,Prob_Surge_20pct,VaR_95_Pct,MC_P95,Weighted_CIIP,Weighted_Risk_Level,Composite_Weight,CIIP_Adjustment
Soda Ash,3,3,3,2,2,8.67,CRITICAL,DOWN 5.7%,"IMMEDIATE: Review safety stock, activate alternate sourcing",70.5,MODERATE,Assessment is directionally reliable,1.0,12.9,409.58,8.27,CRITICAL,0.953,-0.4
Methanol,3,1,2,1,3,7.5,HIGH,UP 7.9%,"URGENT: Monitor weekly, prepare contingency plan",66.8,MODERATE,Assessment is directionally reliable,21.7,51.7,1216.81,8.7,CRITICAL,1.159,1.2
Acetic Acid,3,1,1,2,3,7.5,HIGH,STABLE (1.1%),"URGENT: Monitor weekly, prepare contingency plan",85.9,HIGH,Assessment is analytically robust,0.6,12.1,762.28,8.24,CRITICAL,1.098,0.74
LNG Japan,3,3,3,2,3,9.5,CRITICAL,UP 35.2%,"IMMEDIATE: Review safety stock, activate alternate sourcing",62.6,MODERATE,Assessment is directionally reliable,14.9,35.3,16.24,10.0,CRITICAL,1.174,0.5
Polysilicon,1,3,1,1,3,6.0,MEDIUM,DOWN 59.6%,"WATCH: Monthly review, document exposure",66.6,MODERATE,Assessment is directionally reliable,9.3,25.6,11.31,6.89,HIGH,1.149,0.89
