Material,Current_Price,Prophet_Forecast,MC_P5,MC_P25,MC_Median,MC_P75,MC_P95,Prob_Surge_20pct,Prob_Decline_10pct,VaR_95_Pct,Simulations
Soda Ash,362.9,342.33,318.25,343.91,361.63,380.38,409.58,1.0,9.2,12.9,10000
Methanol,802.0,865.07,473.52,647.46,779.08,936.8,1216.81,21.7,39.0,51.7,10000
Acetic Acid,680.0,687.35,600.5,646.88,678.63,711.85,762.28,0.6,7.8,12.1,10000
LNG Japan,12.0,16.23,8.47,10.33,11.75,13.41,16.24,14.9,33.1,35.3,10000
Polysilicon,9.0,3.64,6.98,8.12,8.94,9.85,11.31,9.3,24.6,25.6,10000
