Date,Material,Price,Unit,Source
2022-05-01,Methanol,639.0,USD/MT,Methanex Historical Contract Prices
2022-06-01,Methanol,615.0,USD/MT,Methanex Historical Contract Prices
2022-07-01,Methanol,605.0,USD/MT,Methanex Historical Contract Prices
2022-08-01,Methanol,595.0,USD/MT,Methanex Historical Contract Prices
2022-09-01,Methanol,585.0,USD/MT,Methanex Historical Contract Prices
2022-10-01,Methanol,585.0,USD/MT,Methanex Historical Contract Prices
2022-11-01,Methanol,585.0,USD/MT,Methanex Historical Contract Prices
2022-12-01,Methanol,575.0,USD/MT,Methanex Historical Contract Prices
2023-01-01,Methanol,575.0,USD/MT,Methanex Historical Contract Prices
2023-02-01,Methanol,575.0,USD/MT,Methanex Historical Contract Prices
2023-03-01,Methanol,595.0,USD/MT,Methanex Historical Contract Prices
2023-04-01,Methanol,575.0,USD/MT,Methanex Historical Contract Prices
2023-05-01,Methanol,555.0,USD/MT,Methanex Historical Contract Prices
2023-06-01,Methanol,545.0,USD/MT,Methanex Historical Contract Prices
2023-07-01,Methanol,529.0,USD/MT,Methanex Historical Contract Prices
2023-08-01,Methanol,516.0,USD/MT,Methanex Historical Contract Prices
2023-09-01,Methanol,516.0,USD/MT,Methanex Historical Contract Prices
2023-10-01,Methanol,516.0,USD/MT,Methanex Historical Contract Prices
2023-11-01,Methanol,549.0,USD/MT,Methanex Historical Contract Prices
2023-12-01,Methanol,575.0,USD/MT,Methanex Historical Contract Prices
2024-01-01,Methanol,575.0,USD/MT,Methanex Historical Contract Prices
2024-02-01,Methanol,575.0,USD/MT,Methanex Historical Contract Prices
2024-03-01,Methanol,609.0,USD/MT,Methanex Historical Contract Prices
2024-04-01,Methanol,632.0,USD/MT,Methanex Historical Contract Prices
2024-05-01,Methanol,645.0,USD/MT,Methanex Historical Contract Prices
2024-06-01,Methanol,662.0,USD/MT,Methanex Historical Contract Prices
2024-07-01,Methanol,679.0,USD/MT,Methanex Historical Contract Prices
2024-08-01,Methanol,695.0,USD/MT,Methanex Historical Contract Prices
2024-09-01,Methanol,722.0,USD/MT,Methanex Historical Contract Prices
2024-10-01,Methanol,738.0,USD/MT,Methanex Historical Contract Prices
2024-11-01,Methanol,785.0,USD/MT,Methanex Historical Contract Prices
2024-12-01,Methanol,832.0,USD/MT,Methanex Historical Contract Prices
2025-01-01,Methanol,891.0,USD/MT,Methanex Historical Contract Prices
2025-02-01,Methanol,891.0,USD/MT,Methanex Historical Contract Prices
2025-03-01,Methanol,891.0,USD/MT,Methanex Historical Contract Prices
2025-04-01,Methanol,891.0,USD/MT,Methanex Historical Contract Prices
2025-05-01,Methanol,832.0,USD/MT,Methanex Historical Contract Prices
2025-06-01,Methanol,778.0,USD/MT,Methanex Historical Contract Prices
2025-07-01,Methanol,795.0,USD/MT,Methanex Historical Contract Prices
2025-08-01,Methanol,778.0,USD/MT,Methanex Historical Contract Prices
2025-09-01,Methanol,778.0,USD/MT,Methanex Historical Contract Prices
2025-10-01,Methanol,802.0,USD/MT,Methanex Historical Contract Prices
2025-11-01,Methanol,802.0,USD/MT,Methanex Historical Contract Prices
2025-12-01,Methanol,802.0,USD/MT,Methanex Historical Contract Prices
